188,400,0, ;209.072,402.107,0.017,;234.383,403,0.033,;251.995,403,0.05,;269.024,403,0.067,;287.945,403,0.083,;308.209,403,0.1,;328.381,403,0.126,;372.704,399.734,0.137,;395.744,395.293,0.152,;415.921,390.351,0.168,;434.582,386.641,0.184,;448.925,385.09,0.201,;458.231,385,0.218,;464.924,386.154,0.238,;467.815,387.272,0.253,;468.395,389.79,0.269,;470.031,392.031,0.286,;471.636,394.273,0.301,;473.518,397.277,0.318,;475.759,399.759,0.335,;478.005,402.005,0.352,;479.123,404.246,0.384,;481.366,406.366,0.401,;482.489,408.978,0.434,;484.536,411.803,0.467,;482.732,413.537,0.485,;480.901,414.049,0.502,;478.558,415.221,0.518,;477.661,419.017,0.537,;475.063,420.937,0.553,;471.068,426.932,0.569,;464.74,435.39,0.586,;455.524,446.306,0.602,;438.778,464.173,0.619,;422.993,481.079,0.636,;402.54,501.46,0.652,;386.261,517.739,0.671,;365.064,537.495,0.687,;349.347,556.531,0.703,;328.761,576.919,0.719,;310.142,595.055,0.736,;294.026,611.901,0.753,;279.384,625.569,0.77,;268.367,635.47,0.786,;255.818,646.893,0.804,;246.264,658.151,0.822,;239.5,667.5,0.838,;229.417,676.238,0.853,;222.326,682.895,0.87,;218.305,686.695,0.887,;215.958,689.042,0.904,;214.861,691.278,0.92,;213.733,693.535,0.953,;211.493,696.761,0.986,;210.732,698.536,1.036,;213.358,699.179,1.054,;215.237,695.644,1.07,;219.083,693.278,1.089,;225.415,691.034,1.106,;237.028,692.397,1.122,;247.484,691.28,1.138,;260.995,691,1.155,;275.632,691,1.171,;291.231,691,1.188,;308.165,689.789,1.205,;327.638,690,1.223,;342.373,691.455,1.24,;363.233,691.577,1.256,;382.559,692.698,1.272,;399.486,694.641,1.289,;415.204,695.943,1.305,;429.829,697.064,1.322,;445.548,698.182,1.338,;457.415,698,1.357,;469.695,696.573,1.374,;481.516,695.448,1.39,;490.039,695,1.406,;495.971,695,1.422,;499.743,695,1.439,;501.5,695,1.456,;502.153,696.077,1.572,;497.971,696,1.59,;495.729,696,1.606,;493.484,698.516,1.7,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;85,,,;1700,,,;AEAP,,,
191,400,0, ;225.22,403.015,0.018,;238.597,403,0.035,;253.302,401.746,0.051,;267.886,400.624,0.07,;282.478,399.502,0.086,;298.281,398.381,0.102,;323.943,398,0.119,;343.946,398,0.135,;359.776,398,0.152,;374.387,400.213,0.169,;387.579,400,0.185,;398.509,402.702,0.203,;408.272,402,0.22,;417.168,403.405,0.236,;425.003,403,0.253,;432.869,402.161,0.269,;439.745,402,0.286,;447.576,399.835,0.302,;452.99,398.802,0.319,;458.621,397.676,0.337,;467.088,398,0.354,;473.961,398,0.37,;480.437,398,0.386,;486.067,398,0.403,;492.609,399.87,0.42,;497.222,401.055,0.436,;499.357,402.179,0.453,;500.298,404.597,0.485,;501.268,406.537,0.536,;498.18,408.91,0.553,;497,409.5,0.57,;494.779,411.147,0.603,;491.41,414.59,0.622,;489,417,0.638,;479.296,425.07,0.654,;469.196,434.048,0.671,;459.977,442.145,0.687,;448.996,452.003,0.704,;436.646,464.354,0.735,;426.83,474.17,0.742,;412.88,486.754,0.773,;382.979,512.217,0.788,;367.519,528.669,0.817,;350.322,543.259,0.838,;321.822,570.906,0.855,;309.611,580.954,0.872,;303.961,591.059,0.89,;292.855,599.684,0.907,;279.909,612.012,0.923,;271.353,623.353,0.939,;264.039,631.788,0.955,;255.376,638.718,0.973,;251.779,648.664,0.989,;247.231,653.961,1.005,;242.749,659.563,1.024,;238.264,666.604,1.041,;232.653,672.789,1.057,;227.275,679.769,1.072,;223.594,686.01,1.089,;220.226,688.849,1.106,;217.909,692.136,1.307,;220.078,692,1.325,;223.887,691,1.34,;229.493,691,1.357,;237.972,691.872,1.374,;246.954,692,1.391,;257.011,692,1.407,;272.068,692,1.424,;285.299,690.642,1.443,;300.226,689.521,1.459,;316.411,691,1.474,;331.397,691.723,1.491,;346.853,692,1.508,;363.455,692,1.525,;380.263,690.916,1.541,;395.897,691,1.558,;407.603,691,1.576,;420.019,691,1.593,;431.316,693,1.609,;442.977,693.698,1.625,;452.547,693.182,1.642,;460.587,693.941,1.659,;468.402,694,1.676,;477.462,696.366,1.692,;482.502,697.3,1.71,;485.28,697,1.727,;487.095,698.547,1.742,;489,699.5,1.775,;490.536,699,1.793,;492.035,699,1.859,;489.737,696.737,1.951,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;92,,,;1951,,,;AEAP,,,
201,412,0,;221.485,410.976,0.018,;240.747,409.589,0.035,;251.5,408.5,0.052,;265.856,408.345,0.068,;279.33,406.445,0.085,;293.702,405.1,0.102,;308.27,402.958,0.118,;336.587,400.713,0.135,;346.906,399.736,0.152,;357.841,400,0.17,;368.932,401.493,0.187,;382.523,400,0.202,;394.514,400,0.219,;405.739,400,0.235,;416.942,400,0.252,;428.169,401.117,0.269,;439.376,401,0.286,;449.218,401,0.303,;457.831,401,0.32,;465.006,402,0.336,;471.339,402.723,0.353,;477.235,403.847,0.369,;483.818,404.97,0.386,;488.37,406.092,0.403,;494.065,407.213,0.42,;498.332,408.333,0.436,;501.372,409.457,0.469,;498.732,411.535,0.502,;495.106,416.841,0.52,;492.873,420.19,0.537,;489.448,423.552,0.553,;483.461,429.539,0.57,;472.132,439.439,0.588,;458,446.5,0.605,;447.93,460.398,0.621,;433.659,471.954,0.638,;422.733,483.186,0.654,;405.372,497.51,0.671,;392.086,508.595,0.687,;376.109,522.335,0.704,;364.556,534.444,0.722,;357,540.5,0.739,;347.483,547.872,0.754,;341.158,555.378,0.771,;336.432,562.352,0.788,;328.912,569.076,0.805,;318.803,576.931,0.822,;310.07,588.413,0.838,;302.356,599.777,0.856,;290.017,610.983,0.873,;274.185,628.434,0.888,;261.842,643.383,0.905,;249.461,656.539,0.922,;242.071,665.905,0.939,;235.362,674.85,0.955,;232.318,677.682,0.972,;228.948,681.052,0.99,;224.109,685.891,1.007,;216.439,693.561,1.022,;210.405,701.033,1.039,;205.65,707.187,1.056,;203.081,710.878,1.073,;202,712.5,1.105,;205.217,709.891,1.139,;208.803,707.464,1.157,;211.39,707,1.173,;213.629,707,1.19,;219.61,706.065,1.206,;227.404,706,1.224,;239.957,706,1.24,;250.99,703.402,1.257,;269.325,699.735,1.274,;287,695,1.291,;307.694,690.995,1.307,;327.186,689.212,1.324,;343.746,689,1.34,;362.527,690.031,1.357,;376.968,690,1.374,;395.358,690,1.391,;404.958,691.396,1.408,;413,691,1.425,;425.107,694.277,1.442,;434.864,695.763,1.458,;445.82,696,1.474,;458.98,695.002,1.491,;472.511,692.748,1.508,;485.973,691.752,1.524,;495.316,692,1.542,;503.881,693.485,1.559,;508.437,694,1.574,;511.47,694.735,1.592,;513,695.5,1.641,;507.775,696.056,1.767,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;94,,,;1767,,,;AEAP,,,
194,394,0, ;207.503,403.348,0.019,;225,409,0.036,;238.523,409,0.051,;253.505,409,0.068,;268.33,409,0.085,;284.913,409,0.102,;302.874,409,0.119,;341.825,409,0.135,;358.398,410.355,0.153,;381.578,410,0.17,;403.658,410,0.185,;423.074,410,0.202,;440.705,410,0.219,;455.58,410,0.236,;466.883,410,0.252,;480.532,411.211,0.269,;484.658,411,0.287,;487.372,411,0.302,;489,412.5,0.335,;488.18,415.64,0.353,;487.059,417.882,0.37,;484.877,421.185,0.386,;481.476,426.874,0.403,;478.077,429.923,0.421,;469.02,437.554,0.438,;457.516,450.13,0.454,;441.625,466.036,0.47,;424.099,484.488,0.487,;400.923,504.426,0.503,;379.333,527.737,0.52,;360.311,546.689,0.537,;337.389,568.33,0.555,;317.778,588.222,0.572,;298,606.5,0.588,;281.741,624.335,0.604,;268.353,638.177,0.621,;255.37,649.859,0.637,;244.905,659.085,0.654,;235.95,669.181,0.67,;220.666,680.565,0.688,;213.009,690.365,0.706,;207.016,695.984,0.722,;202.157,699.228,0.738,;198.787,700.738,0.754,;196.5,701.5,0.803,;198,703.113,0.837,;200.471,701.764,0.856,;203.18,700.41,0.872,;206.13,698.58,0.888,;209.498,696.335,0.905,;213.837,693.122,0.922,;222.623,691.922,0.939,;238.811,693.201,0.955,;251.824,691.681,0.973,;272.531,693.443,0.99,;291.202,692,1.006,;310.687,692,1.022,;331.362,693.617,1.039,;354.504,695.858,1.056,;374.926,698.103,1.072,;396.317,701.524,1.089,;412.413,704.883,1.107,;432.113,709.674,1.124,;449,711,1.141,;463.565,712.659,1.156,;478.16,714.563,1.173,;489.136,716.808,1.19,;496.174,718.029,1.206,;502.884,719.147,1.223,;507.071,719,1.289,;501.726,720,1.38,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;72,,,;1380,,,;AEAP,,,
178,411,0, ;215.786,399.264,0.018,;236.39,394.358,0.034,;256.597,390.901,0.051,;275.688,388.684,0.068,;297.192,387.727,0.085,;317.2,388,0.103,;335.5,388,0.12,;369.966,390.281,0.136,;387.202,391.763,0.152,;401.63,393.772,0.169,;415.078,394,0.185,;428.55,395.129,0.202,;440.749,393.75,0.219,;451.726,394,0.237,;461.439,394,0.254,;472.138,394,0.269,;483.396,394.74,0.286,;493.752,395.861,0.302,;502.856,396.982,0.319,;510.734,398.105,0.336,;516.137,401.682,0.353,;520.381,403.69,0.37,;521.943,405.943,0.387,;522,408.183,0.403,;521.284,410.431,0.42,;519.326,412.674,0.437,;517.081,414.919,0.454,;514.84,418.24,0.47,;511.399,421.601,0.486,;506.714,426.286,0.505,;499.335,430.777,0.521,;487,441,0.537,;467.589,457.343,0.553,;444.986,474.153,0.57,;425.174,491.895,0.587,;401.873,508.805,0.604,;383.045,526.781,0.62,;362.597,542.202,0.637,;345.3,560.7,0.655,;329.5,572,0.671,;314.053,586.285,0.688,;303.715,597.071,0.704,;291.122,607.158,0.721,;277.652,621.377,0.738,;264.208,634.792,0.754,;248.18,649.547,0.771,;242.249,661.323,0.789,;233,670.5,0.805,;228.101,675.899,0.822,;227,678.516,0.839,;227,680.759,0.855,;227,682,0.872,;225.938,685.246,0.889,;223.514,688.73,0.905,;218.565,694.794,0.924,;217.016,701.953,0.941,;216.391,710.043,0.955,;215.5,714.5,0.988,;216,714.537,1.005,;219.145,710.855,1.022,;223.877,709.781,1.039,;236.371,711.337,1.058,;249.131,708.067,1.074,;264.753,704.249,1.09,;280.911,700.168,1.106,;298.285,696.509,1.123,;317.173,694.097,1.14,;336.186,690.791,1.156,;358.852,691,1.173,;378.784,689.679,1.191,;403.118,690,1.208,;419.653,690.561,1.224,;439.559,692.36,1.24,;455.426,693.802,1.256,;470.918,695.845,1.273,;484.57,698.095,1.29,;494.491,699.166,1.306,;503.331,700.291,1.323,;510.88,702.823,1.342,;512.5,703.5,1.356,;514,703,1.406,;506.908,701.977,1.424,;503.569,703.144,1.515,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;84,,,;1515,,,;AEAP,,,
184,411,0, ;219.035,405.466,0.017,;235.433,404.112,0.034,;252.128,404,0.051,;267.869,405.134,0.067,;283.555,405,0.084,;301.982,406.374,0.103,;321.471,406,0.119,;356.977,407,0.134,;378.304,407,0.151,;397.642,407,0.168,;415.744,407,0.185,;433.708,407,0.201,;450.448,407,0.218,;461.82,407,0.236,;474.211,407,0.253,;482.963,407.593,0.268,;487.144,408,0.285,;489.673,408.836,0.302,;491,409.5,0.319,;492.076,409,0.368,;490.851,411.298,0.402,;488.621,415.379,0.419,;486.38,419.241,0.436,;482.26,423.74,0.453,;474.64,433.462,0.469,;460.881,444.766,0.486,;450.136,459.723,0.504,;425.962,480.192,0.521,;410,500,0.538,;386.128,521.531,0.553,;368.259,539.741,0.571,;351.405,558.407,0.587,;335.622,572.324,0.603,;317.643,589.209,0.62,;302.171,603.555,0.637,;286.51,620.883,0.655,;268,636,0.671,;259.314,646.317,0.687,;250.697,654.545,0.704,;245.488,659.512,0.72,;240.982,665.022,0.737,;234.277,672.844,0.753,;225.05,684.438,0.771,;216.063,692.937,0.789,;211.554,700.424,0.806,;206.957,707.651,0.821,;201.348,713.652,0.838,;197.436,717.564,0.855,;194.072,720.928,0.871,;191.816,723.184,0.938,;194.268,723,0.955,;197.413,722,0.972,;200.48,721.173,0.988,;203.842,719.105,1.005,;211.506,716.856,1.022,;220.537,715.808,1.038,;236.108,714.684,1.057,;250.655,712.13,1.073,;269.481,710.442,1.089,;287.868,708.641,1.105,;306.606,708,1.122,;326.608,709.845,1.139,;343.682,711.045,1.156,;362.816,713.331,1.172,;379.34,714.289,1.189,;399.008,716.824,1.207,;411.5,716,1.224,;428.512,717,1.241,;443.84,717,1.256,;456.854,717,1.273,;469.206,715.981,1.289,;484.952,716,1.306,;495.647,716,1.323,;509.584,716,1.341,;518.5,716,1.358,;524.128,716.626,1.373,;528.25,717,1.39,;530.739,717.87,1.407,;532,718.5,1.456,;528.821,718,1.474,;524.548,716.516,1.567,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;82,,,;1567,,,;AEAP,,,
200,384,0, ;221.304,390.087,0.018,;241.108,395.362,0.036,;255.013,398.388,0.053,;269.555,401.743,0.068,;284.874,405.116,0.085,;302.252,407.656,0.101,;320.189,409.899,0.118,;357.376,413.21,0.135,;374.082,414.193,0.152,;395.952,414,0.17,;410.104,414,0.187,;427.793,415,0.203,;442.831,415,0.219,;454.999,414.2,0.235,;464.381,413.077,0.252,;474.39,413,0.269,;479.83,414.166,0.286,;482.86,414,0.304,;484.824,414,0.319,;487,415.5,0.351,;489.803,416.268,0.385,;491.537,417.269,0.435,;492.096,419.192,0.469,;489.374,423.877,0.486,;487.504,426.496,0.503,;484.391,429.609,0.52,;478.059,432.97,0.537,;457.965,448.583,0.554,;440.272,466.728,0.57,;418.218,486.068,0.588,;389.506,508.1,0.605,;371.836,526.164,0.621,;351.305,543.091,0.637,;332.546,559.613,0.654,;309.765,572.599,0.671,;294.906,591.431,0.687,;271.812,606.932,0.704,;253.396,627.933,0.722,;237.215,642.333,0.739,;226.707,651.004,0.755,;217.131,656.783,0.771,;213.364,658.818,0.788,;211.122,660.878,0.804,;210,662,0.821,;207.73,663.18,0.837,;205.393,665.607,0.856,;203.149,667.851,0.873,;202,669.093,0.888,;202,671,0.937,;204.017,671.008,0.955,;206.312,671,0.972,;208.558,671,0.99,;210.798,671,1.007,;213,669.5,1.023,;215.924,668.076,1.039,;221.588,667.765,1.055,;231.858,669.772,1.072,;243.085,671.009,1.089,;255.421,671,1.105,;270.275,672.252,1.123,;282.098,672,1.141,;297.398,674.984,1.157,;311.587,677.227,1.172,;327.325,680.213,1.189,;341.332,682.722,1.206,;359.694,685.946,1.223,;373.231,687.103,1.239,;391.645,688.228,1.256,;405.489,689.345,1.275,;421.519,690.466,1.291,;437.25,690.589,1.307,;451.579,691,1.323,;463.317,691.832,1.34,;476.487,692.957,1.357,;484.516,694.074,1.374,;487.575,695.192,1.39,;490.956,696.319,1.472,;487.786,697.107,1.491,;485.953,694.953,1.507,;483.678,698.483,1.598,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;81,,,;1598,,,;AEAP,,,
184,394,0, ;208.105,394,0.018,;229.954,392.845,0.035,;247.422,391.724,0.054,;263.945,392,0.069,;279,390.5,0.086,;294.977,391,0.102,;311.44,391.763,0.119,;340.69,393.772,0.136,;363.124,396.013,0.152,;382.197,397.129,0.169,;401.248,398.25,0.188,;416.295,399.378,0.204,;433.367,400.491,0.221,;447.385,400.615,0.237,;459.376,400.262,0.253,;468.891,400,0.27,;475.892,400.982,0.287,;480.419,402.105,0.319,;482.351,403.175,0.336,;482,405.94,0.402,;484.268,406.134,0.436,;485.067,408.134,0.469,;483.778,411.666,0.503,;476.569,414.686,0.521,;472.581,417.419,0.537,;468.285,422.644,0.554,;461.691,431.413,0.571,;452.607,443.916,0.587,;433.325,461.382,0.606,;418.142,481.113,0.622,;392.5,502.5,0.639,;374.788,524.191,0.654,;357.284,542.716,0.671,;340.437,560.468,0.688,;326.701,574.299,0.704,;310.966,587.743,0.72,;304.082,597.466,0.74,;293.489,603.341,0.765,;285,610,0.787,;276.578,618.054,0.799,;264.946,627.79,0.816,;251.471,639.652,0.829,;241.997,651.004,0.839,;231.892,661.108,0.855,;220.613,669.909,0.872,;216.171,677.561,0.89,;213.539,682.435,0.907,;210.782,685.827,0.922,;208.535,688.465,0.939,;207,690,0.972,;205.464,692.803,1.004,;207.113,694.227,1.039,;209.536,694,1.056,;212.413,694,1.072,;214.653,694,1.089,;217.854,693.049,1.106,;222.279,691.93,1.123,;227.963,690.807,1.139,;236.174,691,1.158,;245.494,689.563,1.175,;255.69,688.443,1.19,;268.472,687.321,1.206,;280.016,686.198,1.223,;294.917,685.077,1.241,;310.635,682.909,1.257,;328.618,683,1.274,;342.796,681.708,1.292,;362.945,682,1.308,;377,680.5,1.325,;395.486,681.347,1.34,;410.878,681,1.357,;424.777,681,1.374,;436.208,683.042,1.39,;447.368,684.137,1.407,;456.122,686.531,1.423,;460.938,687.388,1.442,;471,688.5,1.459,;477.37,689,1.474,;483.747,689,1.492,;489.358,689.872,1.507,;495.953,690.992,1.524,;500.442,691,1.541,;504.954,691,1.558,;506.711,691,1.59,;508.536,693.536,1.624,;500.758,691.303,1.641,;496.121,691.97,1.733,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;88,,,;1733,,,;AEAP,,,
196,416,0, ;218.505,413.954,0.018,;240.522,412.675,0.057,;274.687,413.579,0.075,;291.549,414.703,0.087,;303.5,415.5,0.101,;327.092,415.057,0.12,;366.091,415,0.135,;381.06,413.871,0.152,;401.379,412.757,0.17,;418.357,410.152,0.186,;434.5,409.5,0.202,;448.769,409,0.226,;459.38,409,0.235,;468.349,409,0.263,;475.248,410.041,0.27,;481.972,410,0.286,;486.149,411.287,0.303,;489.213,411,0.322,;494,412.5,0.338,;495.278,413.639,0.353,;497,414.5,0.387,;498.538,415.269,0.402,;499.069,419.275,0.435,;495.425,422.575,0.453,;493,425,0.47,;489.5,427,0.486,;478.78,435.473,0.503,;462.984,446.677,0.52,;448.102,460.898,0.536,;429.082,474.354,0.553,;413.738,489.029,0.57,;392.675,504.92,0.588,;379.815,516.233,0.604,;362,530.5,0.62,;343.757,547.083,0.637,;325.541,564.459,0.653,;305.658,583.379,0.671,;284.403,604.597,0.687,;266.722,625.893,0.704,;247.478,636.573,0.722,;239.958,650.389,0.738,;230.5,658.5,0.755,;221.149,663.772,0.771,;216.546,668.272,0.788,;214.126,671.811,0.804,;212.942,675.173,0.821,;211.822,677.357,0.838,;210.702,679.597,0.855,;209.575,681.851,0.92,;212.268,683.268,0.938,;213.018,685.035,1.004,;215.261,686.13,1.054,;220.551,685.888,1.072,;228.031,687.004,1.089,;240.399,687,1.106,;251.478,687,1.122,;266.781,685.632,1.141,;281.398,684.508,1.157,;296.146,685,1.173,;313.047,685.736,1.19,;330.725,686.858,1.206,;346.718,687.98,1.223,;366.847,689.103,1.24,;382.056,690.218,1.257,;399.128,691.342,1.274,;411.623,692.469,1.291,;427,696.5,1.307,;442.94,697.42,1.323,;455.31,698,1.34,;468.438,698,1.357,;481.912,698,1.374,;491.726,698,1.39,;500.565,699.321,1.407,;509.473,699,1.425,;512,699,1.441,;515.367,700,1.457,;517,700,1.54,;511.721,702.139,1.633,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;79,,,;1633,,,;AEAP,,,
