196,398,0, ;205.007,396.999,0.018,;211.783,397,0.034,;215.967,397,0.051,;219.074,397,0.069,;220.938,397,0.086,;225.324,397,0.102,;229.777,397,0.118,;237.478,398.619,0.135,;241.764,398.079,0.152,;245.111,398,0.168,;247.297,398,0.185,;250.795,398,0.202,;254.116,398,0.22,;257.473,398,0.237,;264.006,398.601,0.252,;268.143,398.286,0.269,;270.659,398.83,0.286,;273.825,399,0.302,;276.11,400.055,0.319,;278.333,400,0.336,;281.849,400,0.353,;285.182,401.394,0.37,;290,402.5,0.387,;297.081,402,0.403,;301.205,402.735,0.419,;305.386,403,0.436,;308.885,403,0.453,;313.294,403,0.47,;317.748,403,0.486,;324.791,403,0.505,;330.075,403,0.521,;334,403,0.538,;337.91,403.637,0.553,;342.734,404,0.57,;347.463,404.866,0.587,;354.86,405,0.604,;359.366,405,0.62,;365.004,403.799,0.637,;367.954,404,0.655,;372.721,405.43,0.672,;377,405,0.688,;383.941,405,0.704,;389.076,404.231,0.721,;393.538,404,0.738,;395.997,404,0.754,;400.439,404,0.771,;403.672,404,0.788,;408.359,404,0.806,;414.283,404,0.823,;418.27,405,0.839,;422.719,405,0.855,;427.174,405,0.872,;431.62,405,0.888,;437.093,405,0.905,;443.795,405,0.922,;447.973,403.757,0.938,;453.804,404,0.956,;457.892,402.527,0.973,;461.929,403,0.989,;466.795,403,1.005,;473.679,402.189,1.022,;478.716,402,1.039,;482.116,402,1.055,;484.305,402,1.072,;487.792,402,1.104,;489.494,402,1.272,;491.097,402,1.339,;493.266,402,1.439,;495.152,403.076,1.523,;492.892,404.054,1.574,;489.678,408.322,1.591,;487.45,411.326,1.608,;483.445,414.667,1.625,;478.999,420.002,1.641,;471.217,426.671,1.658,;463.421,434.579,1.675,;456.961,441.039,1.693,;450.284,446.263,1.71,;439.875,454.556,1.726,;431.905,463.46,1.742,;425.249,470.751,1.758,;418.548,476.544,1.775,;407.773,483.136,1.792,;400.046,492.09,1.809,;393.513,498.487,1.825,;388.179,503.821,1.843,;379.675,507.9,1.86,;374.057,513.943,1.876,;368.499,520.901,1.892,;363.745,527.069,1.909,;359.291,530.782,1.926,;354.836,535.164,1.942,;349.238,538.457,1.959,;344.936,543.064,1.976,;341.842,546.158,1.994,;338.517,550.977,2.011,;335.784,557.04,2.027,;332.124,561.157,2.043,;328.499,563.667,2.06,;215,,,;4513,,,;JACCH,,,
171,391,0, ;201.437,394.452,0.018,;212.546,395.838,0.034,;222.564,396.952,0.051,;232.587,397,0.068,;240.238,397,0.085,;246.743,395.71,0.101,;256.215,394.598,0.119,;278.5,393.5,0.136,;282.003,391.749,0.152,;293.186,388.767,0.168,;306.28,388,0.185,;319.663,386.056,0.202,;331.919,384.916,0.219,;344.168,383.803,0.235,;359.047,382.689,0.252,;371.998,383,0.27,;383.5,381.5,0.286,;392.18,382.648,0.311,;399.57,383,0.329,;406.237,383,0.336,;410.945,383,0.353,;415.4,384.1,0.369,;418.648,384,0.386,;420.659,385.33,0.404,;422.879,386.44,0.42,;425,387.5,0.437,;428.007,388,0.454,;430.56,388.78,0.47,;433.689,389.896,0.487,;437.025,391.008,0.504,;442.622,391,0.52,;445.707,395.943,0.537,;453.063,396.344,0.554,;455.379,398.919,0.571,;458.5,401,0.588,;463.068,402.379,0.604,;468.822,404.607,0.62,;473.668,405.917,0.637,;477.092,407.031,0.654,;480.42,405.86,0.671,;482.508,406,0.687,;484.725,406,0.721,;486.533,406,0.737,;489,404.5,0.871,;484.823,407.118,0.888,;480.814,409.457,0.904,;476.633,412.525,0.921,;474,414.5,1.004,;460.787,424.953,1.024,;446.306,436.429,1.039,;437.779,443.475,1.055,;430.046,450.954,1.075,;421.321,459.679,1.089,;412.325,467.591,1.106,;404.6,475.4,1.122,;386.349,493.651,1.139,;376.719,503.281,1.156,;370.5,508,1.174,;364.103,517.196,1.189,;356.651,526.877,1.206,;347.957,534.283,1.222,;341.047,540.953,1.24,;335.471,548.741,1.256,;328.695,556.522,1.273,;320.683,562.986,1.29,;315.772,566.782,1.307,;307.5,574,1.324,;301.302,582.369,1.34,;292.717,591.283,1.356,;283.824,597.485,1.373,;275.941,604.051,1.391,;270.4,611.84,1.407,;261.111,619.653,1.424,;254.884,626.116,1.44,;249.691,631.309,1.458,;246,636.5,1.474,;241.926,642.457,1.491,;237.785,648.018,1.508,;232.405,652.676,1.524,;228.908,656.092,1.541,;224.432,658.284,1.558,;221.246,660.503,1.574,;219.258,664.113,1.592,;215.592,665.938,1.609,;214,668,1.624,;211.578,670.422,1.641,;210.174,672.652,1.658,;208.125,675.812,1.674,;204.859,679.141,1.691,;202.674,682.489,1.724,;200.607,684.393,1.757,;201,686.531,1.791,;201,688.532,1.824,;201,691.798,1.858,;199.901,693.198,1.925,;203.505,692.248,1.942,;210.015,692,1.96,;218.776,691.028,1.976,;230.967,689.912,1.993,;138,,,;2815,,,;JACCH,,,
186,400,0, ;202.444,396.917,0.019,;219.299,395.558,0.036,;230.042,395,0.052,;239.374,395,0.069,;249.054,395,0.085,;260.886,395,0.102,;271.094,395,0.119,;292.319,396.122,0.135,;304.858,397.238,0.152,;312.838,397,0.17,;323.176,399.928,0.187,;334.049,398.422,0.203,;341.152,398.692,0.219,;351.84,399,0.236,;361.353,399,0.252,;368.185,399,0.269,;376.027,400.147,0.286,;388.838,400,0.303,;395.601,400,0.321,;401.917,400,0.338,;410.999,401.6,0.354,;420.71,402,0.37,;428.784,402,0.386,;437.5,402,0.403,;448.511,402,0.42,;456.155,402,0.437,;462.685,402,0.455,;470.743,403.392,0.471,;481.5,401.5,0.488,;485.069,400.386,0.504,;489.193,399.269,0.601,;496.062,399,0.607,;497.533,399,0.653,;497,401.213,0.72,;495.959,403.082,0.771,;494.823,405.355,0.789,;493.682,408.318,0.805,;491.458,410.542,0.822,;489.227,414.546,0.838,;486.011,419.982,0.855,;481.552,428.897,0.872,;477.106,436.564,0.888,;468.621,444.379,0.907,;460.846,453.605,0.923,;454.036,464.663,0.94,;443.544,475.101,0.956,;432.877,485.914,0.972,;422.84,497.973,0.989,;410.841,508.13,1.006,;398.587,520.413,1.022,;387.578,532.664,1.039,;373.736,540.843,1.057,;363.302,552.698,1.074,;352,562.084,1.09,;341.436,569.173,1.106,;332.575,576.622,1.123,;321.794,585.365,1.14,;312.705,592.222,1.156,;307.258,596.594,1.173,;301.677,601.059,1.19,;297.498,605.502,1.208,;290.101,611.416,1.225,;285.587,616.413,1.24,;281.853,620.862,1.257,;278.517,623.655,1.274,;275.175,626.825,1.291,;272.885,629.115,1.307,;269.495,632.505,1.323,;266.143,635.857,1.34,;260.025,641.975,1.359,;256,644.5,1.375,;251.51,649.868,1.39,;248.529,653.207,1.408,;245.444,656.556,1.424,;243.068,658.932,1.441,;239.775,662.225,1.457,;237.621,665.568,1.474,;235.388,667.612,1.493,;231.763,671.237,1.509,;231.5,673,1.526,;229.359,675.281,1.541,;228.5,677,1.574,;225.199,679.801,1.591,;224.951,682.146,1.624,;222.67,684.33,1.657,;223,686.532,1.691,;221.22,689.56,1.709,;220.5,691,1.726,;221,692.002,1.774,;221,694.229,1.825,;222.177,696.355,1.875,;223.177,698.355,1.909,;226.25,699.083,1.926,;228.744,701.744,1.945,;236.85,703.95,1.962,;241.546,704.591,1.977,;247.531,705,1.993,;254.725,705.818,2.01,;265.295,706,2.027,;137,,,;2756,,,;JACCH,,,
190,393,0, ;218.973,394,0.018,;232.289,394.844,0.035,;243.577,395.958,0.052,;257.955,397.073,0.068,;270.008,398.183,0.085,;283.558,399.297,0.103,;298.342,399,0.12,;329,402,0.136,;338.36,401.636,0.152,;353.278,402,0.169,;366.509,402,0.186,;380.715,402.978,0.202,;394.075,401.91,0.219,;403.829,403.203,0.235,;415.201,403,0.254,;426.295,401.57,0.27,;432.5,399,0.287,;443.233,400.658,0.303,;451.615,401,0.319,;458.307,401,0.336,;463.982,401.996,0.353,;472.897,404.224,0.369,;480.564,402.777,0.386,;487.022,401.663,0.404,;490.818,402,0.421,;496.827,402.565,0.437,;501.711,403.678,0.453,;506.166,402.417,0.47,;509,401,0.587,;500.512,404.395,0.604,;494.13,406.623,0.621,;487.46,407.923,0.637,;478.705,411.111,0.654,;465.219,414.445,0.671,;454.38,420.31,0.688,;441.829,428.654,0.706,;422.189,440.882,0.722,;409.348,449.032,0.738,;393.66,461.621,0.755,;378.381,472.47,0.771,;364.677,485.323,0.788,;350.255,500.802,0.805,;336.952,511.707,0.821,;323.581,529.274,0.838,;306.074,540.346,0.856,;298.5,554,0.873,;282.949,569.193,0.888,;271.371,583.312,0.905,;259.644,595.505,0.922,;250.29,606.638,0.939,;242.472,620.981,0.955,;234.66,629.531,0.972,;224.301,639.699,0.991,;217.101,652.556,1.007,;214,658.5,1.024,;207.787,664.856,1.039,;202.241,672.263,1.056,;196.651,679.219,1.072,;193.054,683.929,1.089,;190.809,687.287,1.106,;189.795,689.41,1.122,;188.676,691.648,1.139,;187.568,693.863,1.205,;188,695.266,1.289,;190.152,693.924,1.323,;195.731,694,1.34,;204.178,694.797,1.357,;213.304,695,1.374,;222.181,695,1.39,;235.611,695,1.407,;247.754,696.25,1.424,;260.006,696,1.442,;275.163,696,1.459,;284.308,697.59,1.474,;296.468,698.706,1.491,;306.529,699.816,1.508,;316.364,700,1.524,;329.542,700,1.541,;338.25,700,1.557,;348.459,700,1.574,;363.978,700,1.593,;373.953,701.495,1.61,;385.941,701.611,1.625,;397.502,702,1.642,;407.555,702,1.658,;420.42,702,1.675,;430.568,703.063,1.691,;440.595,703,1.708,;451.93,704.293,1.725,;458.828,704,1.743,;463.5,704,1.76,;470.772,702.743,1.776,;476.719,702.744,1.793,;480.574,703.858,1.809,;483.922,704.974,1.826,;486.167,706.083,1.858,;489.47,707.157,1.876,;491.854,708.427,1.894,;494,709.5,1.91,;105,,,;2167,,,;JACCH,,,
200,398,0, ;224.885,395.926,0.018,;245.51,394.408,0.034,;257.042,394,0.05,;266.556,394,0.067,;274.52,394,0.083,;281.27,395.045,0.1,;290.271,395,0.117,;305.538,397.544,0.134,;308.933,398.387,0.152,;312.997,399.499,0.169,;322.509,401.612,0.184,;330.356,402.726,0.201,;336.2,403.84,0.217,;344.645,404.956,0.234,;354.586,406.065,0.251,;362.269,407.181,0.267,;368.723,408.287,0.286,;375.434,408,0.302,;386.5,409.5,0.319,;393.764,409.627,0.334,;400.45,410.742,0.351,;408.004,411,0.368,;415.804,411,0.385,;423.569,411,0.401,;430.17,411,0.433,;436.856,411,0.441,;444.558,411,0.454,;450.673,411,0.47,;455.592,410.352,0.486,;460.05,410,0.502,;464.507,409.123,0.519,;468.961,408.01,0.536,;473.433,408,0.552,;477.868,406.783,0.569,;480.985,405.672,0.587,;482.887,404.557,0.604,;486.119,404,0.619,;488,404,0.652,;489.532,402.734,0.669,;491.013,403,0.969,;493.056,404.028,1.019,;495.197,404,1.237,;491.394,407.738,1.255,;487.088,410.934,1.272,;481.542,415.367,1.288,;471.127,419.832,1.305,;458.5,426.909,1.324,;447.754,434.972,1.34,;432.5,441,1.357,;421.424,448.603,1.372,;407.16,460.292,1.389,;395.15,470.965,1.406,;383.956,480.035,1.423,;370.635,493.365,1.439,;363.39,504.3,1.456,;352.955,514.045,1.474,;339.988,531.379,1.491,;333.036,537.53,1.507,;323.906,548.448,1.523,;313.87,559.922,1.54,;306.547,568.362,1.556,;298.855,577.165,1.573,;286.523,589.477,1.59,;279.262,596.738,1.607,;271.49,603.152,1.625,;265.138,611.339,1.641,;254.481,621.519,1.657,;248.506,627.494,1.674,;242.943,633.057,1.69,;237.374,640.477,1.707,;231.826,648.244,1.724,;226.234,653.766,1.74,;221.944,659.32,1.757,;218.85,662.15,1.775,;217.026,666.949,1.792,;216.392,668.824,1.807,;215.281,672.157,1.824,;214.165,675.506,1.841,;214,677.899,1.858,;214,680.127,1.874,;212.825,682.35,1.923,;213,684.342,2.007,;215.029,685.014,2.041,;218.463,686.154,2.06,;222.275,687.425,2.077,;227,688.5,2.093,;233.881,689.647,2.108,;239.795,690,2.125,;245.361,690.872,2.142,;249.961,691.99,2.159,;256.624,693.104,2.175,;263.304,693,2.192,;271.303,693,2.218,;276.213,693,2.23,;281.776,693,2.244,;289.369,692.329,2.26,;297.483,692.783,2.276,;305.266,692.105,2.293,;312.051,692,2.31,;135,,,;3055,,,;JACCH,,,
196,392,0, ;222.016,389.089,0.018,;232.148,387.984,0.035,;239.895,386.872,0.051,;247.713,385.755,0.068,;255.54,384.637,0.086,;264.784,383.527,0.103,;277.73,382.418,0.119,;289.585,381.302,0.135,;297.682,380.188,0.152,;304.529,380,0.168,;311.209,380,0.185,;317.919,380,0.202,;322.056,381.264,0.219,;326.511,381,0.237,;330.969,381,0.254,;333.808,382.603,0.269,;337.143,383.714,0.286,;340.464,384.821,0.302,;343.834,385.945,0.319,;348.237,388.118,0.336,;352.683,388,0.353,;357.137,389.284,0.371,;361.595,393.196,0.388,;366,395,0.404,;368.244,396.244,0.42,;370,398,0.452,;372.799,399.533,0.502,;374.154,400.077,0.652,;376.065,400,0.687,;382.332,402.533,0.705,;385.989,401,0.721,;390.095,401.774,0.738,;393.666,402,0.754,;398.018,402,0.771,;401.354,403.118,0.789,;407.135,404.227,0.804,;414.079,405.347,0.823,;420.723,403.546,0.839,;424.286,405,0.855,;428.736,405,0.872,;433.19,405.798,0.888,;438.545,406.909,0.905,;443.099,407,0.922,;447.545,405.864,0.938,;451.999,406,0.955,;453.723,406,0.973,;457.443,407.481,0.99,;460.181,407.591,1.006,;462.404,407.298,1.022,;464.632,407,1.039,;466.862,407,1.056,;469.09,407,1.072,;471.313,407,1.105,;475.763,404.618,1.124,;477.997,405,1.141,;480.22,403.39,1.156,;482.449,403,1.173,;484.672,402.164,1.189,;486.899,401.05,1.206,;488,400.5,1.233,;489.179,398.821,1.257,;491.402,397.799,1.289,;493.532,396.734,1.356,;495.266,395.867,1.39,;497.209,396,1.424,;499.532,396,1.44,;503.5,396,1.473,;508.328,394.734,1.507,;509.071,396.035,1.623,;502.505,404.394,1.641,;499.979,408.031,1.658,;495.521,411.359,1.675,;491.075,414.693,1.692,;486.616,420.729,1.71,;483.606,426.324,1.726,;476.547,433.878,1.743,;468.491,439.443,1.759,;461.203,444.198,1.776,;454.521,449.566,1.792,;447.839,456.161,1.809,;436.597,466.263,1.826,;429.219,470.018,1.842,;424.121,475.879,1.86,;417.143,479.905,1.878,;406.857,485.96,1.893,;399.756,492.244,1.909,;393.881,497.296,1.926,;388.323,500.806,1.943,;381.693,504.154,1.959,;375.01,507.495,1.976,;370.897,510.827,1.995,;367.82,514.18,2.011,;364.5,517.5,2.028,;359.545,522.455,2.043,;355.818,526.182,2.06,;351.625,529.531,2.077,;347.185,531.908,2.093,;342.731,535.202,2.11,;339.456,538.544,2.127,;224,,,;4488,,,;JACCH,,,
202,393,0, ;213.129,390.977,0.019,;223.642,389.67,0.035,;229.556,388.574,0.053,;234.5,387.5,0.069,;239.663,388,0.096,;243.325,388,0.102,;246.676,388,0.119,;250.993,388,0.136,;254.33,388,0.153,;257.7,386.767,0.169,;259.681,387,0.187,;264.807,388.452,0.203,;268.694,387,0.22,;271.358,387,0.236,;273.587,387,0.253,;275.821,387.911,0.27,;278.045,388,0.302,;281.385,388,0.335,;284.725,389.242,0.369,;287.797,390.266,0.402,;292.799,390.933,0.42,;296.135,391,0.437,;298.312,392.156,0.454,;300.541,393.271,0.47,;302.767,394.384,0.488,;304.985,395.492,0.505,;307.218,397.609,0.52,;309,398.5,0.553,;314.873,402.915,0.571,;317.13,404.065,0.587,;322.884,404,0.604,;325.871,406.581,0.621,;329.206,407.402,0.638,;332.5,407,0.655,;334.26,408.63,0.671,;336.485,409.742,0.688,;339.573,410,0.705,;342.916,410.972,0.721,;345.171,411,0.738,;349.798,411,0.755,;354.251,411,0.772,;358.697,412.424,0.789,;361.5,412,0.806,;364.291,412,0.822,;366.527,412,0.839,;369.635,412,0.858,;372.971,412,0.873,;376.312,412,0.889,;379.652,410.783,0.906,;384.327,411,0.923,;387.325,411,0.94,;390.657,410,0.957,;393.344,410,0.973,;395.564,410,0.989,;397.793,410,1.015,;401.025,410,1.023,;404.366,408.878,1.04,;406.467,409,1.056,;411.433,409,1.074,;415.832,409,1.091,;419.319,408,1.107,;423.076,408,1.123,;426.422,408,1.14,;430.677,408,1.157,;435.131,406.967,1.173,;440.734,407,1.19,;447.532,405.745,1.207,;452.862,406,1.225,;456.897,406,1.241,;462.99,406,1.257,;469.262,406.71,1.291,;479.726,407,1.307,;483.166,407,1.323,;485.333,407,1.34,;488.825,407,1.357,;490.776,407,1.375,;493,407,1.39,;495,405.5,1.423,;497.799,406,1.473,;499.094,406,1.675,;496.918,408.082,1.693,;491.719,411.625,1.709,;486.932,416.068,1.732,;484,419,1.778,;470.169,429.665,1.83,;454.988,442.009,1.837,;432.083,461.37,1.843,;421.276,471.052,1.859,;410.889,481.902,1.876,;402.679,492.127,1.893,;386.844,512.198,1.91,;376.86,523.266,1.927,;369.357,533.112,1.943,;362.85,540.508,1.961,;357.7,548.22,1.977,;347.977,558.023,1.994,;340.817,564.485,2.016,;334.974,570.026,2.027,;329.424,575.576,2.044,;192,,,;3945,,,;JACCH,,,
200,398,0, ;227.151,399.013,0.017,;238.241,400.124,0.034,;248.162,401.24,0.052,;259.458,402.346,0.082,;269.129,402,0.089,;279.773,402,0.101,;289,402,0.119,;310.222,402,0.135,;321.133,402,0.152,;331.278,402,0.169,;337.854,400.858,0.185,;347.048,399.744,0.202,;358.619,395.914,0.22,;366.889,394.028,0.237,;371.973,392.405,0.253,;378.258,391.29,0.269,;386.575,390.178,0.286,;392.677,390,0.303,;397.188,390,0.319,;400.482,391.161,0.336,;405.089,391,0.353,;408.166,392.389,0.371,;412.997,393.499,0.387,;419.45,394.612,0.403,;423.181,396.454,0.42,;426.532,397.844,0.436,;430.831,398.958,0.453,;435.277,400.069,0.47,;440.905,401.181,0.487,;449.061,401,0.505,;451.218,401,0.521,;454.5,402.5,0.538,;457.266,403,0.554,;459.496,403.748,0.57,;462.582,404.861,0.587,;464.944,405,0.604,;467.176,405,0.62,;470.597,405,0.637,;475.251,405,0.655,;478.282,405,0.672,;480.619,405,0.689,;483.304,405,0.704,;485.534,404.233,0.721,;488.641,404,0.738,;491.983,404,0.755,;494.212,404,0.771,;496.444,404,0.788,;498.666,404,0.854,;500.266,404,0.887,;502.008,404,0.971,;499.787,405.106,1.021,;497.645,405,1.054,;494.854,408.146,1.072,;491.226,411.774,1.155,;469.724,431.448,1.172,;460.484,439.576,1.189,;452.614,447.386,1.206,;443.667,456.333,1.223,;436.074,463.926,1.24,;429.639,470.361,1.258,;424.5,477,1.274,;408.706,493.907,1.29,;402.342,500.658,1.306,;396.788,507.055,1.323,;391.202,512.798,1.34,;383.516,521.553,1.357,;375.686,529.314,1.374,;369.225,534.479,1.39,;365.337,540.079,1.408,;359.5,547,1.425,;351.53,555.47,1.441,;344.495,561.754,1.457,;339.542,566.458,1.475,;334.13,571.87,1.493,;329.659,577.427,1.508,;322.832,586.557,1.525,;314.745,592.933,1.541,;309.848,596.722,1.558,;306,601,1.575,;300.706,605.636,1.591,;293.602,611.627,1.608,;286.681,618.319,1.625,;281.008,623.992,1.641,;275.44,627.336,1.658,;271.106,631.894,1.675,;265.301,637.699,1.692,;258.313,644.687,1.709,;253.5,649.5,1.726,;248.286,654.714,1.742,;243.826,658.38,1.758,;240.285,661.715,1.775,;235.917,665.062,1.792,;231.48,668.39,1.809,;225.769,670.493,1.826,;224.285,672.715,1.843,;222.058,676.413,1.86,;220,678,1.876,;218,680,1.908,;216.075,682.85,1.927,;170,,,;3481,,,;JACCH,,,
202,401,0, ;236.103,399.136,0.021,;247.741,398.026,0.032,;257.75,396.917,0.049,;265.431,397,0.066,;271.872,395.688,0.085,;277.146,394.571,0.101,;285.917,395,0.118,;294.941,394.343,0.133,;300.856,394.771,0.15,;304.654,395.885,0.167,;307.995,396,0.183,;311.329,396,0.2,;314.657,397.219,0.217,;318.007,397,0.235,;322.787,398.447,0.252,;327.244,399.561,0.268,;331.021,400,0.284,;334.361,400.787,0.301,;336.802,401.901,0.317,;340.038,403.013,0.334,;343.392,403,0.351,;347.967,404.242,0.367,;352.41,404,0.386,;356.883,404,0.402,;359.754,405.585,0.418,;363.088,406,0.434,;365.619,406.81,0.451,;367.828,407,0.468,;371.105,408.035,0.485,;373.293,408,0.501,;376.788,408,0.518,;381.517,409.379,0.536,;385.953,407.512,0.553,;388.808,408.603,0.569,;392.149,409,0.585,;395.479,409,0.602,;397.883,409,0.619,;401.166,409,0.637,;404.499,409,0.652,;407.835,409,0.669,;414.002,409,0.687,;418,407.5,0.703,;421.869,407.377,0.719,;425.939,407,0.736,;429.545,407,0.752,;433.839,407,0.769,;439.379,407,0.786,;444.945,405.811,0.803,;449.202,406,0.821,;453.668,406,0.837,;456.5,404.5,0.854,;458.287,404.357,0.87,;461.265,404,0.886,;464.616,403.128,0.903,;467.946,402.018,0.92,;473.479,400.904,0.937,;476.622,401,0.953,;479.979,401,0.972,;481.873,399.564,0.988,;484,400,1.003,;487.5,398.5,1.036,;489.781,398,1.054,;491,398,1.071,;492.116,398,1.119,;494.306,396.847,1.17,;496.354,397,1.304,;493.882,399.118,1.337,;491.145,405.71,1.355,;487.883,409.117,1.438,;473.616,425.596,1.456,;460.213,441.51,1.472,;449.636,451.527,1.489,;439.489,460.566,1.506,;430.526,469.474,1.522,;420.464,478.366,1.539,;409.104,488.606,1.557,;386.851,508.355,1.574,;383.5,512.5,1.591,;371.633,524.238,1.607,;364.574,533.163,1.623,;357.022,540.124,1.64,;347.289,548.743,1.656,;339.459,558.695,1.673,;334.033,565.161,1.689,;325.867,570.523,1.708,;315.229,577.514,1.725,;310,585.5,1.741,;304.424,592.22,1.757,;298.43,597.046,1.774,;289.989,602.382,1.79,;283.071,607.941,1.807,;276.402,613.499,1.823,;272.137,619.079,1.85,;266.352,623.318,1.875,;260.345,627.77,1.891,;254.783,631.662,1.906,;250.34,635.66,1.913,;246.66,640.12,1.925,;243.315,645.475,1.941,;182,,,;3812,,,;JACCH,,,
