203,409,0,;222.738,409,0.022,;243.115,409,0.041,;271.037,409.836,0.072,;285.395,410.953,0.078,;301.095,411,0.093,;315.584,411,0.11,;348.605,413.637,0.169,;377.5,413,0.212,;436.339,409.966,0.232,;445.322,410,0.254,;454.031,410,0.278,;469.175,409.529,0.294,;476.574,409.347,0.31,;484.425,409,0.332,;492.274,409,0.343,;498.073,409,0.36,;503.687,410.137,0.377,;509.29,408.742,0.406,;514.135,409,0.433,;517.498,409,0.439,;520.237,409,0.475,;522.857,409.929,0.488,;523.537,410.268,0.526,;520.825,411.087,0.576,;518.643,413.357,0.609,;514.14,415.953,0.627,;509.705,418.148,0.646,;502.862,422.759,0.66,;493.472,428.58,0.686,;487.419,438.441,0.704,;478.573,442.767,0.727,;468.935,448.369,0.745,;452.583,464.334,0.761,;442.646,471.236,0.778,;433.743,476.786,0.799,;427.345,483.655,0.833,;408,501,0.846,;398.211,508.503,0.862,;387.353,518.647,0.888,;376.139,528.975,0.906,;366.969,536.027,0.934,;348.827,551.932,0.953,;340.03,559.599,0.982,;333.584,565.928,1.008,;315.145,582.587,1.031,;298.241,599.79,1.062,;274.121,624.714,1.079,;264.002,633.998,1.108,;252.267,644.465,1.137,;238.84,661.466,1.163,;226.324,670.87,1.183,;224.936,676.32,1.214,;222.639,679.361,1.24,;219.16,683.84,1.264,;217,686,1.285,;215.466,687.534,1.333,;211,693,1.364,;209.464,695.803,1.389,;207.49,697.51,1.431,;205.642,700.536,1.463,;204.733,702.534,1.497,;207.236,702,1.547,;210.536,700.821,1.58,;212.536,699.732,1.597,;214.082,697.918,1.615,;216.406,698,1.631,;221.302,699.326,1.65,;231.546,701.887,1.667,;241.112,702,1.683,;250.516,702,1.707,;261.916,702.811,1.718,;273.289,703,1.74,;285.567,704.052,1.756,;297.701,704,1.771,;309.489,704,1.785,;322.962,704,1.808,;332.256,704,1.825,;343.202,704,1.844,;354.738,704,1.86,;365.979,704,1.881,;377.187,701.963,1.898,;392.377,701.862,1.914,;403.855,700.481,1.929,;416.568,699.381,1.95,;429.004,699.5,1.968,;450.206,697.256,1.994,;458.047,696.136,2.014,;465.874,696,2.032,;472.639,695.213,2.051,;478.901,697,2.068,;483.042,697.347,2.086,;488.772,698,2.106,;491.418,698,2.117,;493,698,2.15,;496.148,700.074,2.183,;498.315,700,2.218,;500.536,701.268,2.234,;503,702.5,2.283,;499.643,699.643,2.318,;102,,,;2538,,,;JOFL,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202,401,0,;233.638,401,0.024,;269.996,401,0.082,;286.653,400.156,0.119,;328.912,398,0.166,;367.406,402.568,0.223,;389.399,404,0.271,;417.525,405.495,0.302,;423.199,405.64,0.318,;428.86,405.228,0.341,;440.084,406,0.375,;445.709,407.142,0.397,;459.238,406,0.413,;466.014,405.498,0.453,;478.71,404.516,0.485,;489.928,403.982,0.51,;495.354,404,0.652,;496.031,406.063,0.803,;496,408.119,0.821,;493.474,409.263,0.853,;492.234,412.533,0.894,;490.224,413.888,0.905,;488.935,416.129,0.921,;487.753,418.495,0.938,;485.253,419.373,0.962,;483.056,423.416,0.975,;477.972,429.028,1.017,;466.918,439.235,1.024,;462.113,442.915,1.04,;457.613,448.483,1.072,;443.672,461.328,1.121,;428.124,473.876,1.155,;412.61,487.748,1.207,;375.328,523.672,1.257,;367.738,530.262,1.281,;357.013,539.658,1.301,;342.538,549.552,1.331,;333.111,561.593,1.348,;326.631,566.095,1.383,;319.84,570.58,1.399,;305.838,583.06,1.432,;285.666,599.231,1.454,;276.013,608.985,1.476,;264.572,621.952,1.509,;245.041,639.612,1.54,;225.403,658.877,1.557,;221.464,663.381,1.586,;218.109,666.891,1.689,;205.666,687.001,1.747,;196.839,696.161,1.791,;187,713,1.83,;185.224,714.776,1.884,;184.464,715.536,1.965,;190.454,714,2.002,;192,714,2.067,;214.362,714,2.109,;240.064,713,2.159,;275.595,709.934,2.205,;307.426,706.428,2.25,;324.723,706.675,2.271,;336.585,708.917,2.281,;342.196,709,2.293,;347.788,710.158,2.311,;354.575,708.738,2.334,;362.788,709,2.426,;410.741,701.894,2.46,;423.003,700.499,2.494,;442.367,698,2.519,;458.347,696.276,2.552,;472.653,694.05,2.563,;479.536,694,2.584,;485.082,692.784,2.596,;488.005,693,2.613,;491.378,693,2.63,;495.151,693,2.647,;498.089,693,2.663,;501.477,692.174,2.679,;503.884,692,2.696,;506.16,693.08,2.766,;508.268,694.134,2.967,;509.041,696.082,3.014,;510.089,698.178,3.097,;512.214,699.107,3.247,;514.188,699,3.452,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;84,,,;3452,,,;JOFL,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
190,407,0,;231.037,410.96,0.017,;254.407,412.6,0.033,;274.973,413,0.049,;295.976,412.159,0.065,;316.238,411.042,0.082,;337.609,409.915,0.099,;357.636,408.798,0.117,;401.645,409,0.134,;410.365,410,0.151,;425.516,410,0.166,;439.585,410,0.183,;450.291,409.19,0.199,;459.448,409,0.217,;468.395,409,0.233,;476.191,409,0.251,;482.741,407.71,0.269,;487.646,408,0.285,;491.606,408,0.301,;494.308,408,0.316,;496.554,408,0.333,;499.694,408,0.357,;502.042,409.021,0.377,;504.273,409,0.402,;506.379,409,0.498,;506,411.032,0.548,;503.684,413.316,0.566,;502.5,416,0.582,;492.981,424.736,0.599,;483.466,437.045,0.615,;467.608,449.554,0.632,;450.798,468.362,0.649,;430.394,482.604,0.666,;415.576,501.056,0.682,;391.14,513.316,0.7,;376,533.5,0.716,;356.044,553.011,0.733,;338.933,570.262,0.749,;321.205,588.72,0.766,;307.431,601.522,0.783,;297.509,611.491,0.8,;284.824,622.887,0.816,;275.316,628.456,0.834,;270,636.5,0.851,;259.144,645.856,0.866,;250.586,655.187,0.883,;243.647,663.245,0.9,;235.897,673.132,0.917,;225.782,684.353,0.934,;219.483,690.517,0.95,;215.479,697.281,0.968,;211.019,700.981,0.985,;209.383,704.85,1,;206.775,708.967,1.017,;203.415,712.585,1.034,;200.048,714.968,1.051,;197.804,717.196,1.079,;196.779,719.443,1.096,;194.311,720.345,1.135,;197.357,721.179,1.151,;200.654,719.173,1.17,;203.848,718.051,1.185,;210.419,716.93,1.201,;217.155,714.615,1.227,;231.056,713.376,1.248,;245.193,711.135,1.269,;260.873,707.782,1.285,;290.171,700.808,1.302,;305.808,700.915,1.319,;322.622,697.876,1.335,;337.044,699.157,1.352,;351.647,697.719,1.369,;367.617,699.401,1.386,;380,697.5,1.403,;393.412,698,1.419,;404.663,698,1.435,;416.747,698,1.452,;427.077,698,1.469,;437.142,698,1.486,;447.225,696.753,1.502,;455.97,699.743,1.52,;464.921,697.51,1.537,;470.671,697.388,1.553,;476.67,698.468,1.569,;480.566,699,1.586,;482.952,699.976,1.603,;485.193,701.096,1.62,;487.433,701,1.636,;489.676,701,1.671,;491.536,702.268,1.688,;494,700.5,1.719,;496.802,701,1.737,;499.092,701,1.754,;503.747,701,1.786,;509.068,703.427,1.82,;512.674,704.668,1.838,;520.308,706.577,1.855,;532.947,708.825,1.954,;0,0,0,;0,0,0,;98,,,;1954,,,;JOFL,,,;,,,;202,401,0,;233.638,401,0.024,;269.996,401,0.082,;286.653,400.156,0.119,;328.912,398,0.166,;367.406,402.568,0.223,;389.399,404,0.271,;417.525,405.495,0.302,;423.199,405.64,0.318,;428.86,405.228,0.341,;440.084,406,0.375,;445.709,407.142,0.397,;459.238,406,0.413,;466.014,405.498,0.453,;478.71,404.516,0.485,;489.928,403.982,0.51,;495.354,404,0.652,;496.031,406.063,0.803,;496,408.119,0.821,;493.474,409.263,0.853,;492.234,412.533,0.894,;490.224,413.888,0.905,;488.935,416.129,0.921,;487.753,418.495,0.938,;485.253,419.373,0.962,;483.056,423.416,0.975,;477.972,429.028,1.017,;466.918,439.235,1.024,;462.113,442.915,1.04,;457.613,448.483,1.072,;443.672,461.328,1.121,;428.124,473.876,1.155,;412.61,487.748,1.207,;375.328,523.672,1.257,;367.738,530.262,1.281,;357.013,539.658,1.301,;342.538,549.552,1.331,;333.111,561.593,1.348,;326.631,566.095,1.383,;319.84,570.58,1.399,;305.838,583.06,1.432,;285.666,599.231,1.454,;276.013,608.985,1.476,;264.572,621.952,1.509,;245.041,639.612,1.54,;225.403,658.877,1.557,;221.464,663.381,1.586,;218.109,666.891,1.689,;205.666,687.001,1.747,;196.839,696.161,1.791,;187,713,1.83,;185.224,714.776,1.884,;184.464,715.536,1.965,;190.454,714,2.002,;192,714,2.067,;214.362,714,2.109,;240.064,713,2.159,;275.595,709.934,2.205,;307.426,706.428,2.25,;324.723,706.675,2.271,;336.585,708.917,2.281,;342.196,709,2.293,;347.788,710.158,2.311,;354.575,708.738,2.334,;362.788,709,2.426,;410.741,701.894,2.46,;423.003,700.499,2.494,;442.367,698,2.519,;458.347,696.276,2.552,;472.653,694.05,2.563,;479.536,694,2.584,;485.082,692.784,2.596,;488.005,693,2.613,;491.378,693,2.63,;495.151,693,2.647,;498.089,693,2.663,;501.477,692.174,2.679,;503.884,692,2.696,;506.16,693.08,2.766,;508.268,694.134,2.967,;509.041,696.082,3.014,;510.089,698.178,3.097,;512.214,699.107,3.247,;514.188,699,3.452,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;84,,,;3452,,,;JOFL,,,
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
187,409,0,;228.927,405.948,0.017,;247.885,404.83,0.036,;265.6,405,0.052,;283.55,405,0.069,;302.079,405,0.086,;321.108,404.347,0.101,;354.916,401.674,0.118,;379.162,400.102,0.135,;399.3,400,0.151,;417.198,398.863,0.17,;436.422,399,0.186,;455.424,400.378,0.203,;465.029,400,0.22,;477.837,400.622,0.235,;487.184,401,0.252,;493.326,401,0.269,;497.936,400.016,0.285,;503.545,400,0.302,;509.122,400,0.321,;510.696,398.652,0.338,;512.939,399,0.351,;515,399,0.384,;516.535,397.733,0.421,;516,400.051,0.452,;513.683,403.475,0.485,;511.463,408.073,0.502,;498.514,417.445,0.518,;487.782,430.426,0.535,;474.03,442.208,0.551,;459.437,455.52,0.568,;443.738,468.939,0.585,;428.015,478.562,0.603,;419.352,488.648,0.62,;403.5,501.5,0.636,;391.88,510.473,0.652,;377.999,524.77,0.668,;364.343,537.769,0.685,;348.822,551.152,0.702,;338.821,564.572,0.719,;327.461,573.032,0.736,;312.13,581.997,0.754,;306.519,592.476,0.77,;295.853,599.303,0.786,;283.865,609.396,0.803,;274.996,619.72,0.819,;265.163,627.874,0.836,;255.137,635.671,0.853,;247.445,644.777,0.869,;240.953,655.07,0.887,;231.323,662.217,0.904,;222.903,672.267,0.92,;216.478,682.34,0.936,;210.876,689.949,0.953,;205.265,695.735,0.97,;199.672,701.328,0.986,;196.433,702.189,1.003,;194.372,705.942,1.02,;196.428,707.856,1.069,;198.357,708.179,1.103,;201.802,706.732,1.12,;205.307,704.846,1.137,;212.69,706.282,1.154,;220.808,706,1.172,;237.5,706,1.189,;252.335,703.718,1.204,;269.21,703,1.221,;283.584,702.118,1.238,;300.066,702,1.254,;313.501,700.875,1.271,;329.469,701,1.287,;341.053,701,1.306,;356.306,701,1.323,;370.694,702,1.338,;385.198,702.728,1.355,;396.66,703,1.372,;405.806,703,1.389,;420.167,703,1.405,;429.944,703,1.421,;437.364,704.338,1.451,;448.108,704.456,1.472,;463.167,705,1.489,;471.577,705,1.506,;480.545,705,1.523,;485.246,705,1.539,;489.739,706.185,1.556,;492.913,706,1.574,;496.277,706,1.591,;499.198,706,1.606,;503,706,1.639,;511.373,704.09,1.656,;516.124,701.938,1.673,;522.91,699.697,1.799,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;93,,,;1799,,,;JOFL,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
196,406,0,;235.253,406,0.019,;252.973,406,0.035,;271.393,406,0.048,;287.104,406,0.074,;304.576,406,0.102,;347.742,406.605,0.116,;375.5,407.5,0.132,;390.948,406.128,0.149,;406.977,406,0.174,;421.081,406,0.201,;436.017,406,0.228,;453.811,407,0.264,;460.008,407,0.285,;470.349,407,0.318,;479.149,407,0.342,;483.65,407,0.357,;485.861,408.431,0.384,;488.809,408,0.424,;490.524,409.262,0.436,;492.048,409,0.466,;494.286,409,0.566,;491.821,411.179,0.585,;490.932,414.203,0.605,;488.431,416.569,0.618,;484.856,422.907,0.637,;474.276,437.12,0.652,;461.545,446.455,0.669,;452.216,457.23,0.686,;438.84,468.584,0.701,;428.391,478.609,0.72,;419.48,489.65,0.739,;403,503.572,0.753,;389.337,516.381,0.769,;372.145,536.835,0.785,;361,547,0.802,;347.816,561.771,0.818,;335.7,573.3,0.835,;322.535,586.465,0.853,;311.538,596.416,0.876,;302.503,605.497,0.894,;291.617,618.461,0.908,;280.349,627.651,0.928,;272.12,635.88,0.951,;262.904,645.773,0.978,;247.526,662.387,0.996,;240.853,669.147,1.01,;234.043,678.275,1.03,;226.625,683.375,1.057,;221.038,688.57,1.083,;212.129,696.871,1.105,;208.12,702.76,1.129,;206.492,705.011,1.145,;204.813,707.25,1.169,;202.644,708.178,1.212,;203,710.539,1.266,;205.536,708.732,1.31,;207.356,707.822,1.34,;212.159,707,1.369,;216.537,708.415,1.404,;235.441,710,1.429,;258.049,710,1.475,;299.225,705,1.511,;325.243,704,1.545,;335.301,703.087,1.576,;359.064,704,1.609,;382.5,705,1.634,;393.815,705,1.665,;410.026,704.122,1.69,;428.835,702.881,1.714,;437.966,703,1.741,;451.909,702,1.788,;474.229,701,1.809,;502.757,698.03,1.834,;510.501,698,1.905,;527,696,2.005,;528.535,697.268,2.461,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;77,,,;2461,,,;JOFL,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
194,428,0, ;233.121,414.847,0.018,;249.319,410.195,0.034,;262.863,406.784,0.051,;275.087,404.62,0.07,;287.453,403.686,0.087,;301.652,401.13,0.103,;323.471,398.33,0.119,;345.869,396.321,0.135,;364.572,396,0.151,;386.375,396.919,0.168,;402.549,397,0.185,;421.632,398.155,0.203,;438.225,399.282,0.22,;457.855,400.403,0.237,;472.43,400.524,0.253,;488.061,401,0.269,;501.176,401,0.286,;513.767,401.888,0.302,;522.045,402,0.319,;529.904,404.258,0.336,;535.249,406.5,0.353,;536.73,407.365,0.435,;534.286,409.857,0.461,;523.354,416.369,0.492,;514.458,423.907,0.499,;500.3,434.022,0.506,;485.053,444.117,0.52,;468.191,455.347,0.535,;452.586,466.311,0.552,;436.713,475.553,0.568,;424.57,486.43,0.585,;409.138,499.739,0.602,;394.603,510.844,0.619,;377.464,532.444,0.637,;362.04,546.96,0.654,;344.885,565.02,0.67,;330.302,578.698,0.686,;313.416,591.651,0.702,;300.898,602.192,0.719,;285.595,614.318,0.737,;274.483,627.82,0.753,;262.004,639.996,0.771,;249.654,655.136,0.787,;240.899,661.588,0.804,;230.67,669.431,0.82,;222.473,678.036,0.836,;215.734,685.266,0.853,;211.023,689.977,0.87,;207.649,694.468,0.887,;206.762,697.713,0.919,;204.519,700.721,0.952,;207.536,701.268,0.986,;211.935,700.968,1.004,;216.335,701,1.02,;225.675,703.419,1.036,;241.214,704.324,1.055,;251.453,706.891,1.072,;265.964,706.431,1.088,;278.93,706,1.104,;294.975,706,1.121,;308.261,706.933,1.137,;322.724,705.944,1.154,;337.256,707.174,1.17,;350.57,707,1.189,;372.5,705.583,1.206,;384.5,704.5,1.222,;403.906,703.341,1.238,;421.225,703,1.254,;435.802,703,1.271,;450.297,701.977,1.288,;458.003,702,1.304,;465.849,702,1.321,;473.708,703.387,1.339,;484.5,701.5,1.356,;487.114,703,1.371,;491.985,703,1.388,;496.471,703.868,1.405,;502.941,703.01,1.422,;510.758,703,1.438,;514.928,703,1.455,;519.398,703,1.473,;522.418,701.527,1.49,;532.154,706.374,1.588,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;0,0,0,;84,,,;1588,,,;JOFL,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
